Antecedent,Consequent,Support,Confidence,Lift,Rule_Type
"{cream cheese , frankfurter, soda}",{butter},0.00013366303548753594,1.0,28.39278937381404,Max Confidence
"{dessert, shopping bags, whole milk}",{butter},0.00013366303548753594,1.0,28.39278937381404,Max Confidence
"{frankfurter, rubbing alcohol}",{domestic eggs},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{frozen dessert, pip fruit}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{oil, popcorn}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{brown bread, oil, whole milk}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{canned beer, oil, rolls/buns}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{citrus fruit, herbs, other vegetables}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{long life bakery product, other vegetables, rolls/buns}",{domestic eggs},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{frozen meals, oil, other vegetables}",{pork},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{brown bread, citrus fruit, frankfurter, whole milk}",{domestic eggs},0.00013366303548753594,1.0,26.96036036036036,Max Confidence
"{cake bar, canned beer, sausage}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{citrus fruit, domestic eggs, frankfurter}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{citrus fruit, domestic eggs, whole milk}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{frankfurter, frozen vegetables, pip fruit}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{canned beer, frankfurter, frozen vegetables, pip fruit}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{citrus fruit, domestic eggs, frankfurter, whole milk}",{brown bread},0.00013366303548753594,1.0,26.577264653641212,Max Confidence
"{domestic eggs, rubbing alcohol}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{frozen fish, napkins}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{mayonnaise, oil}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{softener, vinegar}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{UHT-milk, canned fish, whole milk}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{brown bread, frozen vegetables, pip fruit}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{brown bread, margarine, soda}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{citrus fruit, domestic eggs, whole milk}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, hamburger meat, root vegetables}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, hamburger meat, soda}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, sausage, soda}",{frankfurter},0.00020049455323130388,1.0,26.483185840707968,Max Confidence
"{curd, waffles, white bread}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{ice cream, other vegetables, rolls/buns}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{softener, vinegar, whole milk}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{brown bread, canned beer, frozen vegetables, pip fruit}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{brown bread, citrus fruit, domestic eggs, whole milk}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, hamburger meat, root vegetables, soda}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{coffee, pastry, sausage, soda}",{frankfurter},0.00013366303548753594,1.0,26.483185840707968,Max Confidence
"{bottled beer, domestic eggs, shopping bags}",{newspapers},0.00013366303548753594,1.0,25.709621993127147,Max Confidence
"{hard cheese, other vegetables, soda}",{newspapers},0.00013366303548753594,1.0,25.709621993127147,Max Confidence
"{curd, finished products}",{whipped/sour cream},0.00013366303548753594,1.0,22.87920489296636,Max Confidence
"{citrus fruit, dishes, frankfurter}",{whipped/sour cream},0.00013366303548753594,1.0,22.87920489296636,Max Confidence
"{flour, rolls/buns, tropical fruit}",{whipped/sour cream},0.00013366303548753594,1.0,22.87920489296636,Max Confidence
"{citrus fruit, rolls/buns, whole milk, yogurt}",{whipped/sour cream},0.00013366303548753594,1.0,22.87920489296636,Max Confidence
"{baking powder, specialty bar}",{bottled beer},0.00013366303548753594,1.0,22.069321533923304,Max Confidence
"{cling film/bags, shopping bags}",{bottled beer},0.00013366303548753594,1.0,22.069321533923304,Max Confidence
"{misc. beverages, turkey}",{bottled beer},0.00013366303548753594,1.0,22.069321533923304,Max Confidence
"{butter, root vegetables, sausage}",{bottled beer},0.00013366303548753594,1.0,22.069321533923304,Max Confidence
"{candy, rolls/buns, whole milk}",{bottled beer},0.00013366303548753594,1.0,22.069321533923304,Max Confidence
"{canned fish, onions, whole milk}",{bottled beer},0.00013366303548753594,1.0,22.069321533923304,Max Confidence
"{chicken, other vegetables, root vegetables}",{bottled beer},0.00013366303548753594,1.0,22.069321533923304,Max Confidence
"{other vegetables, root vegetables, waffles}",{bottled beer},0.00013366303548753594,1.0,22.069321533923304,Max Confidence
"{sausage, tropical fruit, waffles}",{bottled beer},0.00013366303548753594,1.0,22.069321533923304,Max Confidence
"{bottled water, cookware}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{cat food, dishes}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{ham, salty snack}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{brown bread, cake bar, sausage}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{brown bread, frozen vegetables, pip fruit}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{chicken, hygiene articles, whole milk}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{frankfurter, frozen vegetables, pip fruit}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{ham, other vegetables, yogurt}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{oil, pork, rolls/buns}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{oil, pork, root vegetables}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{rolls/buns, salty snack, soda}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{sausage, whole milk, zwieback}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{brown bread, frankfurter, frozen vegetables, pip fruit}",{canned beer},0.00013366303548753594,1.0,21.314814814814817,Max Confidence
"{beef, turkey}",{shopping bags},0.00013366303548753594,1.0,21.015449438202246,Max Confidence
"{coffee, specialty bar}",{shopping bags},0.00013366303548753594,1.0,21.015449438202246,Max Confidence
"{butter, dessert, soda}",{shopping bags},0.00013366303548753594,1.0,21.015449438202246,Max Confidence
"{butter, dessert, whole milk}",{shopping bags},0.00013366303548753594,1.0,21.015449438202246,Max Confidence
"{citrus fruit, hygiene articles, whole milk}",{shopping bags},0.00013366303548753594,1.0,21.015449438202246,Max Confidence
"{citrus fruit, white wine, whole milk}",{shopping bags},0.00013366303548753594,1.0,21.015449438202246,Max Confidence
"{other vegetables, pot plants, tropical fruit}",{shopping bags},0.00013366303548753594,1.0,21.015449438202246,Max Confidence
"{UHT-milk, beef, whole milk}",{pip fruit},0.00013366303548753594,1.0,20.385558583106267,Max Confidence
"{berries, sweet spreads, whole milk}",{pip fruit},0.00013366303548753594,1.0,20.385558583106267,Max Confidence
"{beverages, rolls/buns, sausage}",{pip fruit},0.00013366303548753594,1.0,20.385558583106267,Max Confidence
"{dishes, rolls/buns, whole milk}",{pip fruit},0.00013366303548753594,1.0,20.385558583106267,Max Confidence
"{fruit/vegetable juice, ice cream, rolls/buns}",{pip fruit},0.00013366303548753594,1.0,20.385558583106267,Max Confidence
"{fruit/vegetable juice, pasta, rolls/buns}",{pip fruit},0.00013366303548753594,1.0,20.385558583106267,Max Confidence
"{brown bread, canned beer, frankfurter, frozen vegetables}",{pip fruit},0.00013366303548753594,1.0,20.385558583106267,Max Confidence
"{finished products, onions}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{ham, turkey}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{bottled beer, coffee, rolls/buns}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{coffee, seasonal products, whole milk}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{curd, dessert, sausage}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{fruit/vegetable juice, newspapers, whole milk}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{ham, soda, turkey}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{newspapers, rolls/buns, soda}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{pasta, soda, tropical fruit}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{citrus fruit, curd, other vegetables, specialty chocolate}",{pastry},0.00013366303548753594,1.0,19.332041343669253,Max Confidence
"{oil, specialty chocolate}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{brown bread, domestic eggs, frankfurter}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{butter, margarine, whole milk}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{cat food, frozen vegetables, other vegetables}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{chicken, cream cheese , specialty chocolate}",{citrus fruit},0.00020049455323130388,1.0,18.82138364779874,Max Confidence
"{chicken, curd, specialty chocolate}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{chicken, specialty chocolate, whole milk}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{curd, pastry, specialty chocolate}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{dessert, sausage, specialty chocolate}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{dishes, frankfurter, whipped/sour cream}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{dishes, whipped/sour cream, whole milk}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
"{frankfurter, ice cream, yogurt}",{citrus fruit},0.00013366303548753594,1.0,18.82138364779874,Max Confidence
